-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  /Users/echow/QSU/SEER-medicare/code/hcpcs.log
  log type:  text
 opened on:  13 Jul 2018, 12:14:18

.         tab hcpcs, sort

 HCPCS Code |      Freq.     Percent        Cum.
      11721 |        371        0.01       96.12
      80072 |        371        0.01       96.12
      99183 |        371        0.01       96.13
      70480 |        369        0.01       96.14
      J9185 |        369        0.01       96.15
      38792 |        368        0.01       96.16
      72146 |        368        0.01       96.17
      J0780 |        366        0.01       96.17
      76003 |        365        0.01       96.18
      85384 |        365        0.01       96.19
      97799 |        365        0.01       96.20
      38510 |        363        0.01       96.21
      G0105 |        359        0.01       96.22
      G0010 |        358        0.01       96.22
      88107 |        356        0.01       96.23
      89060 |        356        0.01       96.24
      85210 |        354        0.01       96.25
      82810 |        350        0.01       96.26
      73620 |        349        0.01       96.27
      93232 |        347        0.01       96.27
      93734 |        347        0.01       96.28
      J9060 |        347        0.01       96.29
      85378 |        346        0.01       96.30
      A4647 |        345        0.01       96.31
      84300 |        343        0.01       96.31
      83912 |        342        0.01       96.32
      90816 |        342        0.01       96.33
      J2060 |        342        0.01       96.34
      70260 |        340        0.01       96.34
      72190 |        339        0.01       96.35
      52224 |        337        0.01       96.36
      74249 |        336        0.01       96.37
      90471 |        334        0.01       96.38
      93731 |        334        0.01       96.38
      95903 |        334        0.01       96.39
      A4755 |        334        0.01       96.40
      82340 |        333        0.01       96.41
      83001 |        333        0.01       96.41
      12011 |        332        0.01       96.42
      51726 |        332        0.01       96.43
      82172 |        332        0.01       96.44
      29580 |        330        0.01       96.44
      36535 |        329        0.01       96.45
      G0129 |        329        0.01       96.46
      94680 |        327        0.01       96.47
      80299 |        326        0.01       96.47
      84402 |        325        0.01       96.48
      52204 |        323        0.01       96.49
      73100 |        321        0.01       96.50
      74430 |        321        0.01       96.50
      78803 |        321        0.01       96.51
      94660 |        321        0.01       96.52
      76076 |        320        0.01       96.53
      76499 |        320        0.01       96.53
      72220 |        318        0.01       96.54
      92004 |        318        0.01       96.55
      95816 |        318        0.01       96.56
      J1790 |        318        0.01       96.56
      93312 |        317        0.01       96.57
      G0126 |        316        0.01       96.58
      J0150 |        316        0.01       96.59
      73070 |        314        0.01       96.59
      36215 |        313        0.01       96.60
      94656 |        313        0.01       96.61
      86870 |        312        0.01       96.61
      99291 |        310        0.01       96.62
      W3011 |        310        0.01       96.63
      80091 |        308        0.01       96.64
      84134 |        306        0.01       96.64
      77520 |        305        0.01       96.65
      86886 |        304        0.01       96.66
